company,stock_name,fye,qtr,qrd,date_announced,cipr,pipr,ccpr,pcpr,cippl,pippl,ccppl,pcppl,cipplt,pipplt,ccpplt,pcpplt,ref
MALPAC HOLDINGS BERHAD,"MALPAC  
 ",30/9/2005,3,31/12/2005,24 Nov 2005  ,1642,1500,5768,5039,"1,689",903,"4,246","3,559","1,641",876,"4,219","3,533",575446
MALAYSIA STEEL WORKS (KL) BHD,"MASTEEL  
 ",30/9/2005,3,31/12/2005,23 Nov 2005  ,90314,103316,232122,226987,"9,211","18,317","19,360","30,429","9,211","18,317","19,360","30,429",575459
CAELY HOLDINGS BHD,"CAELY  
 ",30/9/2005,3,31/12/2005,24 Nov 2005  ,26174,25347,79984,72501,837,"2,885","3,287","6,519",671,"2,231","2,293","4,933",575465
DPS RESOURCES BERHAD,"DPS  
 ",30/9/2005,3,31/12/2005,23 Nov 2005  ,23913,22944,73134,62486,"2,327","3,027","11,223","9,741","1,920","3,182","8,947","8,331",575466
PJ DEVELOPMENT HOLDINGS BERHAD,"PJDEV  
 ",30/9/2005,1,30/6/2006,23 Nov 2005  ,107581,95581,107581,95581,"4,008","7,101","4,008","7,101","3,008","5,211","3,008","5,211",575478
MALAYSIA PACIFIC CORPORATION BERHAD,"MPCORP  
 ",30/9/2005,1,30/6/2006,24 Nov 2005  ,5620,4753,5620,4753,"-2,402","-1,836","-2,402","-1,836","-2,148","-2,141","-2,148","-2,141",575480
BOON KOON GROUP BERHAD,"BKOON  
 ",30/9/2005,3,31/12/2005,23 Nov 2005  ,41227,24048,117060,68954,"4,865","3,440","13,621","10,551","3,519","2,601","9,846","7,662",575482
HOVID BERHAD,"HOVID  
 ",30/9/2005,1,30/6/2006,24 Nov 2005  ,31610,,31610,,"5,350",,"5,350",,"3,136",,"3,136",,575483
YTL E-SOLUTIONS BERHAD,"YTLE  
 ",30/9/2005,1,30/6/2006,24 Nov 2005  ,10872,7662,10872,7662,"4,903","3,067","4,903","3,067","3,105","1,669","3,105","1,669",575484
JSPC I-SOLUTIONS BERHAD,"JSPC  
 ",30/9/2005,3,31/12/2005,25 Nov 2005  ,4874,5844,15261,15915,245,604,"1,006","3,121",307,601,847,"2,781",575496
TOYO INK GROUP BERHAD,"TOYOINK  
 ",30/9/2005,2,31/3/2006,25 Nov 2005  ,17492,16569,33138,31549,"1,061","2,050","2,289","3,248",696,"1,416","1,651","2,352",575499
CHEETAH HOLDINGS BERHAD,"CHEETAH  
 ",30/9/2005,1,30/6/2006,25 Nov 2005  ,16292,4139,16292,4139,"1,728",186,"1,728",186,"1,378",126,"1,378",126,575506
MEASAT GLOBAL BERHAD,"MEASAT  
 ",30/9/2005,3,31/12/2005,25 Nov 2005  ,32786,32512,97301,96490,"5,549","4,738","11,125","11,559","5,477","2,088","10,921","6,549",575512
LION CORPORATION BERHAD,"LIONCOR  
 ",30/9/2005,1,30/6/2006,28 Nov 2005  ,530771,914479,530771,914479,"-54,120","170,203","-54,120","170,203","-48,994","141,091","-48,994","141,091",575513
BINTULU PORT HOLDINGS BERHAD,"BIPORT  
 ",30/9/2005,3,31/12/2005,25 Nov 2005  ,87056,84712,287250,263487,"15,285","40,362","114,790","131,774","10,540","27,820","80,929","91,583",575516
NAIM INDAH CORPORATION BERHAD,"NICORP  
 ",30/9/2005,3,31/12/2005,25 Nov 2005  ,1806,5205,5512,16487,-851,"1,450","-1,560","4,703",-839,"1,351","-1,548","3,997",575529
BOUSTEAD PROPERTIES BERHAD,"BSDPROP  
 ",30/9/2005,3,31/12/2005,25 Nov 2005  ,97209,108184,249026,259828,"30,736","42,475","72,689","100,031","21,153","32,084","51,356","74,551",575547
AV VENTURES CORPORATION BERHAD,"AVENTUR  
 ",30/9/2005,3,31/12/2005,28 Nov 2005  ,10247,11437,33791,31474,35,494,"1,274",889,-67,252,201,400,575554
CYGAL BERHAD,"CYGAL  
 ",30/9/2005,3,31/12/2005,29 Nov 2005  ,17274,29637,51476,86486,"-7,222","-5,845","-19,717","-17,315","-7,210","-6,048","-19,785","-17,728",575562
INDUSTRONICS BERHAD,"ITRONIC  
 ",30/9/2005,3,31/12/2005,29 Nov 2005  ,27569,20425,81215,59391,721,"2,452","4,456","4,023",110,"1,841","2,410","2,566",575563
